unit_id,recording_id,utterance_index,duration,word_count,baseline_wer,adapted_wer,wer_delta,improved,teacher_selected_wer,teacher_accepted_updates,teacher_skipped_updates,mean_vote_count,mean_vote_fraction
BarrySchwartz_2005G:0012:139.56-150.43,BarrySchwartz_2005G,12,10.870000000000005,32,0.03125,0.03125,0.0,False,,0,3,,
BarrySchwartz_2005G:0013:150.43-163.93,BarrySchwartz_2005G,13,13.5,51,0.0392156862745098,0.0392156862745098,0.0,False,,0,3,,
BarrySchwartz_2005G:0014:163.93-172.65,BarrySchwartz_2005G,14,8.719999999999999,27,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0015:172.65-179.60,BarrySchwartz_2005G,15,6.949999999999989,19,0.21052631578947367,0.21052631578947367,0.0,False,,0,3,,
BarrySchwartz_2005G:0016:181.89-192.51,BarrySchwartz_2005G,16,10.620000000000005,39,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0017:192.51-201.64,BarrySchwartz_2005G,17,9.129999999999995,32,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0018:201.64-215.06,BarrySchwartz_2005G,18,13.420000000000016,34,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0019:215.06-224.04,BarrySchwartz_2005G,19,8.97999999999999,37,0.43243243243243246,0.43243243243243246,0.0,False,,0,3,,
BarrySchwartz_2005G:0020:224.04-233.25,BarrySchwartz_2005G,20,9.210000000000008,28,0.07142857142857142,0.07142857142857142,0.0,False,,0,3,,
BarrySchwartz_2005G:0021:233.25-245.59,BarrySchwartz_2005G,21,12.340000000000003,40,0.1,0.1,0.0,False,,0,3,,
BarrySchwartz_2005G:0022:245.59-267.95,BarrySchwartz_2005G,22,22.359999999999985,73,0.0821917808219178,0.0684931506849315,-0.0136986301369863,True,0.958904109589041,3,3,3.3333333333333335,0.20833333333333334
BarrySchwartz_2005G:0023:267.95-282.08,BarrySchwartz_2005G,23,14.129999999999995,56,0.017857142857142856,0.017857142857142856,0.0,False,,0,3,,
BarrySchwartz_2005G:0024:282.08-291.09,BarrySchwartz_2005G,24,9.009999999999991,16,0.125,0.125,0.0,False,,0,3,,
BarrySchwartz_2005G:0025:291.09-303.34,BarrySchwartz_2005G,25,12.25,51,0.058823529411764705,0.058823529411764705,0.0,False,,0,3,,
BarrySchwartz_2005G:0026:303.34-309.23,BarrySchwartz_2005G,26,5.890000000000043,11,0.0,0.0,0.0,False,0.0,1,2,2.0,0.125
BarrySchwartz_2005G:0027:309.23-321.76,BarrySchwartz_2005G,27,12.529999999999973,39,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0028:321.76-331.02,BarrySchwartz_2005G,28,9.259999999999991,21,0.047619047619047616,0.047619047619047616,0.0,False,,0,3,,
BarrySchwartz_2005G:0029:331.02-341.66,BarrySchwartz_2005G,29,10.640000000000043,34,0.23529411764705882,0.23529411764705882,0.0,False,,0,3,,
BarrySchwartz_2005G:0030:341.66-349.40,BarrySchwartz_2005G,30,7.739999999999952,27,0.6666666666666666,0.6666666666666666,0.0,False,,0,3,,
BarrySchwartz_2005G:0031:349.40-361.85,BarrySchwartz_2005G,31,12.450000000000045,45,0.022222222222222223,0.022222222222222223,0.0,False,,0,3,,
BarrySchwartz_2005G:0032:364.04-365.16,BarrySchwartz_2005G,32,1.1200000000000045,1,0.0,0.0,0.0,False,2.0,3,0,5.666666666666667,0.3541666666666667
BarrySchwartz_2005G:0033:365.16-377.66,BarrySchwartz_2005G,33,12.5,31,0.03225806451612903,0.03225806451612903,0.0,False,,0,3,,
BarrySchwartz_2005G:0034:382.94-392.41,BarrySchwartz_2005G,34,9.470000000000027,39,0.1282051282051282,0.1282051282051282,0.0,False,,0,3,,
BarrySchwartz_2005G:0035:392.41-401.56,BarrySchwartz_2005G,35,9.149999999999977,30,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0036:401.56-414.65,BarrySchwartz_2005G,36,13.089999999999975,47,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0037:414.65-420.97,BarrySchwartz_2005G,37,6.32000000000005,21,0.09523809523809523,0.09523809523809523,0.0,False,,0,3,,
BarrySchwartz_2005G:0038:420.97-432.55,BarrySchwartz_2005G,38,11.579999999999984,45,0.044444444444444446,0.044444444444444446,0.0,False,,0,3,,
BarrySchwartz_2005G:0039:432.55-445.38,BarrySchwartz_2005G,39,12.829999999999984,31,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0040:447.42-456.23,BarrySchwartz_2005G,40,8.810000000000002,30,0.0,0.0,0.0,False,,0,3,,
